"Municípios e respectivas
Unidades da Federação","Posição ocu-
pada pelos
100 maiores
municípios","Produto Interno Bruto
a preços correntes
(1 000 R$)",Participação (%),"Participação
acumulada (%)"
São Paulo (SP),1º,748 759 007,"9,84","9,84"
Rio de Janeiro (RJ),2º,331 279 902,"4,35","14,19"
Brasília (DF),3º,265 847 334,"3,49","17,69"
Belo Horizonte (MG),4º,97 509 893,"1,28","18,97"
Manaus (AM),5º,91 768 773,"1,21","20,17"
Curitiba (PR),6º,88 308 728,"1,16","21,33"
Osasco (SP),7º,76 311 814,1,"22,34"
Porto Alegre (RS),8º,76 074 563,1,"23,34"
Guarulhos (SP),9º,65 849 311,"0,87","24,2"
Campinas (SP),10º,65 419 717,"0,86","25,06"
Fortaleza (CE),11º,65 160 893,"0,86","25,92"
Salvador (BA),12º,58 938 115,"0,77","26,69"
Goiânia (GO),13º,51 961 311,"0,68","27,38"
Barueri (SP),14º,51 254 572,"0,67","28,05"
Jundiaí (SP),15º,51 235 050,"0,67","28,72"
Recife (PE),16º,50 311 002,"0,66","29,38"
São Bernardo do Campo (SP),17º,48 614 342,"0,64","30,02"
Duque de Caxias (RJ),18º,47 153 673,"0,62","30,64"
Niterói (RJ),19º,40 949 495,"0,54","31,18"
São José dos Campos (SP),20º,39 148 012,"0,51","31,69"
Paulínia (SP),21º,38 572 766,"0,51","32,2"
Parauapebas (PA),22º,38 014 863,"0,5","32,7"
Uberlândia (MG),23º,37 631 537,"0,49","33,2"
Sorocaba (SP),24º,36 723 769,"0,48","33,68"
Joinville (SC),25º,36 391 912,"0,48","34,16"
Maricá (RJ),26º,35 618 327,"0,47","34,62"
Ribeirão Preto (SP),27º,35 218 869,"0,46","35,09"
Itajaí (SC),28º,33 084 145,"0,43","35,52"
São Luís (MA),29º,33 074 010,"0,43","35,96"
Belém (PA),30º,30 835 763,"0,41","36,36"
Campo Grande (MS),31º,30 121 789,"0,4","36,76"
Contagem (MG),32º,29 558 094,"0,39","37,15"
Santo André (SP),33º,29 440 477,"0,39","37,53"
Piracicaba (SP),34º,27 172 817,"0,36","37,89"
Cuiabá (MT),35º,26 528 839,"0,35","38,24"
Betim (MG),36º,26 185 005,"0,34","38,58"
Caxias do Sul (RS),37º,25 965 161,"0,34","38,92"
Camaçari (BA),38º,25 697 266,"0,34","39,26"
Vitória (ES),39º,25 473 898,"0,33","39,6"
Serra (ES),40º,25 079 657,"0,33","39,93"
Campos dos Goytacazes (RJ),41º,23 841 837,"0,31","40,24"
Maceió (AL),42º,22 872 756,"0,3","40,54"
Natal (RN),43º,22 729 773,"0,3","40,84"
Canaã dos Carajás (PA),44º,22 522 725,"0,3","41,14"
Santos (SP),45º,22 073 535,"0,29","41,43"
São José dos Pinhais (PR),46º,21 975 612,"0,29","41,71"
Londrina (PR),47º,21 729 852,"0,29",42
Teresina (PI),48º,21 578 875,"0,28","42,28"
Florianópolis (SC),49º,21 312 447,"0,28","42,56"
