rota;tipologia;sentido;percurso;bairros;extensao;inauguracao
Ciclovia Norte ;Ciclovia;Bidirecional;Início no cruzamento da Rua da Aurora com a Av. Norte, Av. Norte, Praça Soares Dutra (adjacente ao Cemitério dos Ingleses), Praça Cívica (adjacente ao Cemitério dos Ingleses), Av. Cruz Cabugá, Av. Norte, Viaduto da Av. Norte.;Santo Amaro;1,47;2011
Ciclofaixa do Cavouco;Ciclofaixa;Unidirecional;Início na Av. Caxangá com a Av. Mário Álvares Pereira de Lyra, Av. Mário Álvares Pereira de Lyra, Rua Manoel Estevão da Costa e Av. Mário Álvares de Lyra.;Cordeiro e Iputinga;2,3;2007
Ciclovia Orla;Ciclovia;Bidirecional;Início a 63 metros da Rua Dr. Arlindo dos Santos na Av. Boa Viagem, Av. Boa Viagem até o cruzamento com a Av. Antônio de Góes. ;Boa Viagem e Pina;7,85;2004
Ciclofaixa Brasília Teimosa;Ciclofaixa e Ciclorrota;Bidirecional;Início no cruzamento da Av. Boa Viagem com a Av. Antônio de Góes, Rua Comendador Moraes, Rua do Jaú, Rua Marechal Hermes, Av. Brasília Formosa e finaliza a 44 metros antes da Rua da Esperança.;Pina e Brasília Teimosa;1,41;2004
Rota Tiradentes ;Ciclofaixa e Ciclorrota;Bidirecional;Estrada do Forte do Arraial Novo do Bom Jesus, Rua Delmiro Gouveia, Rua Arsênio Calaça, Rua José Veloso, Rua Comendador Franco Ferreira e Rua Vinte e Um de Abril. ;Cordeiro, Torrões, San Martin, Mangueira, Mustardinha e Afogados;5,6;2005
Ciclovia Shopping;Ciclovia;Bidirecional;Anel viário do Shopping RioMar.;Pina;0,95;2012
Ciclofaixa Binário de Casa Amarela Arraial x Encanamento;Ciclofaixa;Unidirecional e Bidirecional;Sentido cidade/subúrbio - início no cruzamento da Av. Des. Góis Cavalcante com a Estrada do Arraial. Segue a Estrada do Arraial em toda sua extensão. Sentido subúrbio/cidade –  Estrada do Encanamento - início no cruzamento com a Rua Oscar Ferreira, Praça do Parnamirim, Rua Padre Roma, Rua Sebastião Alves. Estrada das Ubaias e Rua Paula Batista, no trecho compreendido entre os binários.;Casa Amarela, Monteiro, Parnamirim e Tamarineira;5,0;2012
Zona 30 - Bairro do Recife;Área Compartilhada;-;Bairro do Recife - Área entre a Av. Alfredo Lisboa e a Av. Cais da Alfândega, da Antiga Ponte Giratória e a Rua do Observatório. (É um poligono com 27 vias).;Recife;160.000m²;2014
Ciclofaixa Arquiteto Luiz Nunes ;Ciclofaixa e Ciclorrota;Bidirecional;Rua Visconde de Pelotas, Rua Santos Araújo, Rua Quitério Inácio de Mello, Rua Augusto Calheiros, Ponte Gilberto Freyre, Rua Arquiteto Luiz Nunes, Rua Eng. José Brandão Cavalcante, Lagoa do Araçá. ;Afogados e Imbiribeira;3,5;2014
Rota Marquês de Abrantes;Ciclofaixa e Ciclorrota;Bidirecional;Rua Amaro Coutinho, Rua Pedro Alves, Rua da Coragem, Rua Retiro Saudoso, Rua Carlos Fernandes e Rua Marquês de Abrantes, até o cruzamento com a Rua Jerônimo Vilela.;Encruzilhada, Hipódromo e Campo Grande.;1,90;2014
Ciclofaixa Antônio Curado;Ciclofaixa e Ciclorrota;Bidirecional;Rua Gaspar Perez, Rua Mauricéia no cruzamento com a BR-101, segue pela Rua Manoel Estevão da Costa, Rua Antônio Curado e Rua José dos Santos.;Iputinga, Engenho do Meio e Cidade Universitária;3,2;2015
Ciclofaixa Inácio Monteiro;Ciclofaixa e Ciclorrota;Unidirecional e Bidirecional;Rua Professor Joaquim Xavier de Brito, Av. Inácio Monteiro e Rua Dr. Miguel Vieira Ferreira até a Estrada do Forte.;Cordeiro;2,4;2015
Ciclofaixa Antônio Falcão;Ciclofaixa;Bidirecional;Av. General Mac Arthur e Rua Antônio Falcão até a Rua General Edson Amâncio Ramalho.;Imbiribeira e Boa Viagem;1,7;2015
Ciclovia Via Mangue ;Ciclovia;Bidirecional;Pista Oeste da Via Mangue até a Rua Manoel de Brito.;Pina;4,5;2016
Ciclofaixa Jardim Beira Rio;Ciclofaixa;Bidirecional;Rua Manoel de Brito e Av. Cônsul Joseph Noujaim.;Pina;0,45;2016
Rota Eixo Estruturador Cicloviário Camilo Simões;Ciclofaixa, Ciclovia e Área Compartilhada;Bidirecional;Ponte Buarque de Macedo, Praça da República, Ponte Princesa Izabel, Rua da Aurora, Av. Prefeito Artur Lima Cavalcanti, Av. Dr. Jayme da Fonte, Pontilhão da Av. Gov. Agamenon Magalhães, Pista local da Av. Gov. Agamenon Magalhães, Fábrica Tacaruna.;Bairro do Recife, Santo Antônio, Santo Amaro e Campo Grande.;5,1;2017
Ciclofaixa Jardim São Paulo;Ciclofaixa e Ciclorrota;Bidirecional;Rua Comendador Franco Ferreira, Rua Prof. Silvio da Cunha Santos, Av. General San Martin, Av. João Cabral de Melo Neto, Rua Senador Alberto Pasqualini, Praça de Jardim São Paulo.;San Martin, Jiquiá, Estância e Jardim São Paulo;1,9;2017
Rota Compaz Ariano Suassuna;Ciclorrota;Bidirecional;Rua Tamboril, Rua Tijucas, Rua Capitão Francisco Barreiras, Rua Capitão Antônio Dias e Pista Local Av. Eng. Abdias de Carvalho.;Cordeiro;0,65;2018
Ciclofaixa Estrada do Bongi;Ciclofaixa e Ciclorrota;Bidirecional;Rua Carlos Gomes, Estrada do Bongi, Rua Pedro Américo, Rua Isaac Markman, Rua Itapemirim e Rua Cônsul Vilares Fragoso.;Prado, Bongi e San Martin;2,7;2018
Rota Setúbal (1a etapa);Ciclofaixa e Ciclorrota;Bidirecional;Av. Vinte e Três de Outubro, Rua Tenente Aurélio Sampaio, Av. Vinte de Janeiro, Rua Copacabana, Av. Marechal Juarez Távora, Rua Cosmorama e Av. Armindo Moura. Rua João Cardoso Aires.;Boa Viagem;4,5;2018
Ciclofaixa Ponto de Parada;Ciclofaixa;Bidirecional;Rua Amaro Coutinho, Av. Santos Dumont, Praça Treze de Junho.;Rosarinho, Encruzilhada e Ponto de Parada;0,7;2019
Ciclofaixa Professor José dos Anjos;Ciclofaixa e Ciclovia;Unidirecional e Bidirecional;Av. Professor José dos Anjos (Início Rua Euclides Gomes de Freitas até a Rua Farias Neves), continuidade até a Rua Manoel Brandão.;Mangabeira, Tamarineira, Arruda, Ponto de Parada, Campo Grande, Peixinhos, Campina do Barreto e Rosarinho;8,0;2019
Rota Othon Paraíso;Ciclofaixa e Ciclorrota;Unidirecional e Bidirecional;Pista Local da Av. Gov. Agamenon Magalhães, Rua Othon Paraíso, Rua Marechal Deodoro, Rua Paulo de Arruda e Rua Prudente de Moraes. Rua Castro Alves. Rua Dona Elvira e Rua Antônio Rangel. ;Torreão, Campo Grande, Hipódromo e Encruzilhada;4,0;2019
Ciclofaixa Visconde de Jequitinhonha (1a etapa);Ciclofaixa e Ciclorrota;Unidirecional e Bidirecional;Rua Visconde de Jequitinhonha, Rua Baltazar Passos e Rua Setúbal, Dona Lindu.;Boa Viagem;1,0;2019
Rota Professor João Medeiros;Ciclofaixa e Ciclorrota;Unidirecional e Bidirecional;Rua Professor Arnaldo Carneiro Leão, Rua General Edson Amâncio Ramalho e Av. Professor João Medeiros até a Delegacia de Boa Viagem.;Boa Viagem;2,0;2019
Ciclofaixa Maurício de Nassau;Ciclofaixa;Bidirecional;Rua Dr. João Lacerda, Av. Maurício de Nassau, Rua Nossa Senhora da Saúde e Av. Inácio Monteiro;Cordeiro e Iputinga;3,0;2019
Rota Afonso Olindense;Ciclofaixa, Ciclorrota e Área Compartilhada;Bidirecional;Av. Afonso Olindense, Praça Pinto Damásio, Rua Azeredo Coutinho, Rua Francisco Lacerda e Rua João Francisco Lisboa. Rua Acadêmico Hélio Ramos e Av. Prof. Luiz Freire.;Várzea e Cidade Universitária;6,0;2019
Ciclovia Jornalista Graça Araújo (1a etapa);Ciclovia;Bidirecional;Av. Mário Melo e Rua dos Palmares.;Santo Amaro;2,8;2019
